,CUSTOMER_ID ,FIRSTNAME,MIDDLENAME ,LASTNAME ,CUSTOMER_TYPE,GENDER ,DATEOFBIRTH ,BIRTHPLACE,MOTHER_MAIDENNAME,CIVILSTATUS ,NATIONALITY,IS_MINOR,IS_PEP,SOURCEOFFUND ,MONTHLYINCOME ,OCCUPATION ,LOAD_DT ,INDUSTRYTYPE ,POSITIONS ,NAMEOFEMPLOYER ,LANDLINE_NO,CONTACT_DETAILS ,EMAIL ,BRANCHCODE ,COMPANYADDRESS ,ISSUEDATE ,EXPIRYDATE ,PPG_COUNTRY,PPG_PROVINCE ,PPG_CITY_MUNICIPALITY ,PPG_HOMEADD ,SUKI_CARD_NUMBER ,LOAD_DT_1
0,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
1,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
2,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
3,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
4,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
5,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
6,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
7,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
8,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
9,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
10,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
11,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
12,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frrank,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard,frank richard
